#p7	p5
1233	1089
1234	1090
1235	1091
1236	1092
1237	1093
1238	1094
1239	1095
1240	1096
1209	1065
1210	1066
1211	1067
1212	1068
1213	1069
1214	1070
1215	1071
1216	1072
1361	1217
1362	1218
1363	1219
1364	1220
1365	1221
1366	1222
1367	1223
1368	1224
1065	1305
1066	1306
1067	1307
1068	1308
1069	1309
1070	1310
1071	1311
1072	1312
1017	1257
1018	1258
1019	1259
1020	1260
1021	1261
1022	1262
1023	1263
1024	1264
1225	1081
1226	1082
1227	1083
1228	1084
1229	1085
1230	1086
1231	1087
1232	1088
1057	1297
1058	1298
1059	1299
1060	1300
1061	1301
1062	1302
1063	1303
1064	1304
1265	1121
1266	1122
1267	1123
1268	1124
1269	1125
1270	1126
1271	1127
1272	1128
1281	1137
1282	1138
1283	1139
1284	1140
1285	1141
1286	1142
1287	1143
1288	1144
1105	1345
1106	1346
1107	1347
1108	1348
1109	1349
1110	1350
1111	1351
1112	1352
1129	1369
1130	1370
1131	1371
1132	1372
1133	1373
1134	1374
1135	1375
1136	1376
1097	1337
1098	1338
1099	1339
1100	1340
1101	1341
1102	1342
1103	1343
1104	1344
##bravo_command	2,11	1,23	p5_straight
##bravo_command	2,5	1,17	p5_straight
##bravo_command	2,20	2,7	p5_straight
##bravo_command	1,17	2,6	p5_straight
##bravo_command	1,5	2,17	p5_straight
##bravo_command	2,9	1,21	p5_straight
##bravo_command	1,15	2,4	p5_straight
##bravo_command	2,19	1,8	p5_straight
##bravo_command	2,23	1,12	p5_straight
##bravo_command	1,4	2,16	p5_straight
##bravo_command	1,10	2,22	p5_straight
##bravo_command	1,2	2,14	p5_straight
