#p7	p5
1097	1137
1098	1138
1099	1139
1100	1140
1101	1141
1102	1142
1103	1143
1104	1144
1305	1345
1306	1346
1307	1347
1308	1348
1309	1349
1310	1350
1311	1351
1312	1352
1257	1297
1258	1298
1259	1299
1260	1300
1261	1301
1262	1302
1263	1303
1264	1304
1313	1353
1314	1354
1315	1355
1316	1356
1317	1357
1318	1358
1319	1359
1320	1360
1041	1081
1042	1082
1043	1083
1044	1084
1045	1085
1046	1086
1047	1087
1048	1088
1177	1217
1178	1218
1179	1219
1180	1220
1181	1221
1182	1222
1183	1223
1184	1224
1105	1145
1106	1146
1107	1147
1108	1148
1109	1149
1110	1150
1111	1151
1112	1152
1337	1377
1338	1378
1339	1379
1340	1380
1341	1381
1342	1382
1343	1383
1344	1384
1089	1129
1090	1130
1091	1131
1092	1132
1093	1133
1094	1134
1095	1135
1096	1136
1345	1001
1346	1002
1347	1003
1348	1004
1349	1005
1350	1006
1351	1007
1352	1008
1369	1025
1370	1026
1371	1027
1372	1028
1373	1029
1374	1030
1375	1031
1376	1032
1321	1361
1322	1362
1323	1363
1324	1364
1325	1365
1326	1366
1327	1367
1328	1368
##bravo_command	1,2	1,12	p5_straight
##bravo_command	2,6	2,16	p5_straight
##bravo_command	2,17	2,4	p5_straight
##bravo_command	2,8	2,18	p5_straight
##bravo_command	1,11	1,21	p5_straight
##bravo_command	1,22	2,7	p5_straight
##bravo_command	1,4	1,14	p5_straight
##bravo_command	2,14	2,24	p5_straight
##bravo_command	1,23	1,10	p5_straight
##bravo_command	2,16	1,1	p5_straight
##bravo_command	2,22	1,7	p5_straight
##bravo_command	2,10	2,20	p5_straight
