#p7	p5
1201	1113
1202	1114
1203	1115
1204	1116
1205	1117
1206	1118
1207	1119
1208	1120
1185	1097
1186	1098
1187	1099
1188	1100
1189	1101
1190	1102
1191	1103
1192	1104
1033	1329
1034	1330
1035	1331
1036	1332
1037	1333
1038	1334
1039	1335
1040	1336
1041	1337
1042	1338
1043	1339
1044	1340
1045	1341
1046	1342
1047	1343
1048	1344
1153	1065
1154	1066
1155	1067
1156	1068
1157	1069
1158	1070
1159	1071
1160	1072
1369	1281
1370	1282
1371	1283
1372	1284
1373	1285
1374	1286
1375	1287
1376	1288
1361	1273
1362	1274
1363	1275
1364	1276
1365	1277
1366	1278
1367	1279
1368	1280
1249	1161
1250	1162
1251	1163
1252	1164
1253	1165
1254	1166
1255	1167
1256	1168
1025	1321
1026	1322
1027	1323
1028	1324
1029	1325
1030	1326
1031	1327
1032	1328
1089	1001
1090	1002
1091	1003
1092	1004
1093	1005
1094	1006
1095	1007
1096	1008
1129	1041
1130	1042
1131	1043
1132	1044
1133	1045
1134	1046
1135	1047
1136	1048
1137	1049
1138	1050
1139	1051
1140	1052
1141	1053
1142	1054
1143	1055
1144	1056
##bravo_command	2,3	1,6	p5_straight
##bravo_command	1,24	1,2	p5_straight
##bravo_command	1,9	2,12	p5_straight
##bravo_command	1,11	2,14	p5_straight
##bravo_command	1,16	1,17	p5_straight
##bravo_command	2,22	2,23	p5_straight
##bravo_command	2,20	2,21	p5_straight
##bravo_command	2,15	1,18	p5_straight
##bravo_command	1,7	2,10	p5_straight
##bravo_command	1,23	1,1	p5_straight
##bravo_command	1,10	1,11	p5_straight
##bravo_command	1,12	1,13	p5_straight
