#p7	p5
1305	1265
1306	1266
1307	1267
1308	1268
1309	1269
1310	1270
1311	1271
1312	1272
1265	1225
1266	1226
1267	1227
1268	1228
1269	1229
1270	1230
1271	1231
1272	1232
1001	1345
1002	1346
1003	1347
1004	1348
1005	1349
1006	1350
1007	1351
1008	1352
1113	1073
1114	1074
1115	1075
1116	1076
1117	1077
1118	1078
1119	1079
1120	1080
1297	1257
1298	1258
1299	1259
1300	1260
1301	1261
1302	1262
1303	1263
1304	1264
1169	1129
1170	1130
1171	1131
1172	1132
1173	1133
1174	1134
1175	1135
1176	1136
1161	1121
1162	1122
1163	1123
1164	1124
1165	1125
1166	1126
1167	1127
1168	1128
1033	1377
1034	1378
1035	1379
1036	1380
1037	1381
1038	1382
1039	1383
1040	1384
1065	1025
1066	1026
1067	1027
1068	1028
1069	1029
1070	1030
1071	1031
1072	1032
1121	1081
1122	1082
1123	1083
1124	1084
1125	1085
1126	1086
1127	1087
1128	1088
1145	1105
1146	1106
1147	1107
1148	1108
1149	1109
1150	1110
1151	1111
1152	1112
1073	1033
1074	1034
1075	1035
1076	1036
1077	1037
1078	1038
1079	1039
1080	1040
##bravo_command	2,6	2,19	p5_straight
##bravo_command	2,19	2,9	p5_straight
##bravo_command	1,1	2,16	p5_straight
##bravo_command	1,6	1,19	p5_straight
##bravo_command	2,4	2,17	p5_straight
##bravo_command	1,20	1,10	p5_straight
##bravo_command	1,18	1,8	p5_straight
##bravo_command	1,9	2,24	p5_straight
##bravo_command	1,17	1,7	p5_straight
##bravo_command	1,8	1,21	p5_straight
##bravo_command	1,14	1,4	p5_straight
##bravo_command	1,19	1,9	p5_straight
