#p7	p5
1121	1344
1122	1343
1123	1342
1124	1341
1125	1340
1126	1339
1127	1338
1128	1337
1273	1112
1274	1111
1275	1110
1276	1109
1277	1108
1278	1107
1279	1106
1280	1105
1337	1176
1338	1175
1339	1174
1340	1173
1341	1172
1342	1171
1343	1170
1344	1169
1233	1072
1234	1071
1235	1070
1236	1069
1237	1068
1238	1067
1239	1066
1240	1065
1113	1336
1114	1335
1115	1334
1116	1333
1117	1332
1118	1331
1119	1330
1120	1329
1369	1208
1370	1207
1371	1206
1372	1205
1373	1204
1374	1203
1375	1202
1376	1201
1345	1184
1346	1183
1347	1182
1348	1181
1349	1180
1350	1179
1351	1178
1352	1177
1265	1104
1266	1103
1267	1102
1268	1101
1269	1100
1270	1099
1271	1098
1272	1097
1073	1296
1074	1295
1075	1294
1076	1293
1077	1292
1078	1291
1079	1290
1080	1289
1241	1080
1242	1079
1243	1078
1244	1077
1245	1076
1246	1075
1247	1074
1248	1073
1281	1120
1282	1119
1283	1118
1284	1117
1285	1116
1286	1115
1287	1114
1288	1113
1209	1048
1210	1047
1211	1046
1212	1045
1213	1044
1214	1043
1215	1042
1216	1041
##bravo_command	1,8	1,11	p5_inverse
##bravo_command	2,21	2,21	p5_inverse
##bravo_command	2,14	2,5	p5_inverse
##bravo_command	2,11	2,8	p5_inverse
##bravo_command	1,6	1,13	p5_inverse
##bravo_command	2,22	1,22	p5_inverse
##bravo_command	2,16	2,3	p5_inverse
##bravo_command	2,19	2,23	p5_inverse
##bravo_command	1,19	1,23	p5_inverse
##bravo_command	2,13	2,6	p5_inverse
##bravo_command	2,23	2,19	p5_inverse
##bravo_command	2,5	2,14	p5_inverse
