#p7	p5
1321	1048
1322	1047
1323	1046
1324	1045
1325	1044
1326	1043
1327	1042
1328	1041
1049	1160
1050	1159
1051	1158
1052	1157
1053	1156
1054	1155
1055	1154
1056	1153
1313	1040
1314	1039
1315	1038
1316	1037
1317	1036
1318	1035
1319	1034
1320	1033
1089	1200
1090	1199
1091	1198
1092	1197
1093	1196
1094	1195
1095	1194
1096	1193
1265	1376
1266	1375
1267	1374
1268	1373
1269	1372
1270	1371
1271	1370
1272	1369
1377	1104
1378	1103
1379	1102
1380	1101
1381	1100
1382	1099
1383	1098
1384	1097
1009	1120
1010	1119
1011	1118
1012	1117
1013	1116
1014	1115
1015	1114
1016	1113
1153	1264
1154	1263
1155	1262
1156	1261
1157	1260
1158	1259
1159	1258
1160	1257
1249	1360
1250	1359
1251	1358
1252	1357
1253	1356
1254	1355
1255	1354
1256	1353
1369	1096
1370	1095
1371	1094
1372	1093
1373	1092
1374	1091
1375	1090
1376	1089
1097	1208
1098	1207
1099	1206
1100	1205
1101	1204
1102	1203
1103	1202
1104	1201
1329	1056
1330	1055
1331	1054
1332	1053
1333	1052
1334	1051
1335	1050
1336	1049
##bravo_command	2,10	2,14	p5_inverse
##bravo_command	1,13	2,9	p5_inverse
##bravo_command	2,8	2,16	p5_inverse
##bravo_command	1,23	1,24	p5_inverse
##bravo_command	2,19	1,3	p5_inverse
##bravo_command	2,24	2,23	p5_inverse
##bravo_command	1,3	2,19	p5_inverse
##bravo_command	1,16	1,8	p5_inverse
##bravo_command	2,15	1,7	p5_inverse
##bravo_command	2,22	2,2	p5_inverse
##bravo_command	1,2	1,22	p5_inverse
##bravo_command	2,12	2,12	p5_inverse
