#p7	p5
1313	1368
1314	1367
1315	1366
1316	1365
1317	1364
1318	1363
1319	1362
1320	1361
1241	1296
1242	1295
1243	1294
1244	1293
1245	1292
1246	1291
1247	1290
1248	1289
1233	1288
1234	1287
1235	1286
1236	1285
1237	1284
1238	1283
1239	1282
1240	1281
1209	1264
1210	1263
1211	1262
1212	1261
1213	1260
1214	1259
1215	1258
1216	1257
1121	1176
1122	1175
1123	1174
1124	1173
1125	1172
1126	1171
1127	1170
1128	1169
1081	1136
1082	1135
1083	1134
1084	1133
1085	1132
1086	1131
1087	1130
1088	1129
1257	1312
1258	1311
1259	1310
1260	1309
1261	1308
1262	1307
1263	1306
1264	1305
1065	1120
1066	1119
1067	1118
1068	1117
1069	1116
1070	1115
1071	1114
1072	1113
1009	1064
1010	1063
1011	1062
1012	1061
1013	1060
1014	1059
1015	1058
1016	1057
1305	1360
1306	1359
1307	1358
1308	1357
1309	1356
1310	1355
1311	1354
1312	1353
1329	1384
1330	1383
1331	1382
1332	1381
1333	1380
1334	1379
1335	1378
1336	1377
1369	1040
1370	1039
1371	1038
1372	1037
1373	1036
1374	1035
1375	1034
1376	1033
##bravo_command	2,8	1,5	p5_inverse
##bravo_command	2,13	1,23	p5_inverse
##bravo_command	2,11	1,2	p5_inverse
##bravo_command	2,5	1,8	p5_inverse
##bravo_command	1,8	2,5	p5_inverse
##bravo_command	1,21	2,15	p5_inverse
##bravo_command	2,17	1,19	p5_inverse
##bravo_command	1,17	2,19	p5_inverse
##bravo_command	1,3	2,10	p5_inverse
##bravo_command	2,6	1,7	p5_inverse
##bravo_command	2,12	1,1	p5_inverse
##bravo_command	2,22	2,16	p5_inverse
