#p7	p5
1145	1232
1146	1231
1147	1230
1148	1229
1149	1228
1150	1227
1151	1226
1152	1225
1209	1296
1210	1295
1211	1294
1212	1293
1213	1292
1214	1291
1215	1290
1216	1289
1369	1072
1370	1071
1371	1070
1372	1069
1373	1068
1374	1067
1375	1066
1376	1065
1097	1184
1098	1183
1099	1182
1100	1181
1101	1180
1102	1179
1103	1178
1104	1177
1081	1168
1082	1167
1083	1166
1084	1165
1085	1164
1086	1163
1087	1162
1088	1161
1345	1048
1346	1047
1347	1046
1348	1045
1349	1044
1350	1043
1351	1042
1352	1041
1009	1096
1010	1095
1011	1094
1012	1093
1013	1092
1014	1091
1015	1090
1016	1089
1329	1032
1330	1031
1331	1030
1332	1029
1333	1028
1334	1027
1335	1026
1336	1025
1193	1280
1194	1279
1195	1278
1196	1277
1197	1276
1198	1275
1199	1274
1200	1273
1353	1056
1354	1055
1355	1054
1356	1053
1357	1052
1358	1051
1359	1050
1360	1049
1017	1104
1018	1103
1019	1102
1020	1101
1021	1100
1022	1099
1023	1098
1024	1097
1225	1312
1226	1311
1227	1310
1228	1309
1229	1308
1230	1307
1231	1306
1232	1305
##bravo_command	1,14	1,16	p5_inverse
##bravo_command	2,5	1,23	p5_inverse
##bravo_command	2,22	2,8	p5_inverse
##bravo_command	1,2	2,3	p5_inverse
##bravo_command	1,21	2,7	p5_inverse
##bravo_command	2,16	2,14	p5_inverse
##bravo_command	1,3	2,2	p5_inverse
##bravo_command	2,12	2,18	p5_inverse
##bravo_command	2,1	1,4	p5_inverse
##bravo_command	2,18	2,12	p5_inverse
##bravo_command	1,5	2,23	p5_inverse
##bravo_command	2,9	1,19	p5_inverse
